Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,42280.234375,44175.437500,42214.976563,44167.332031,44167.332031,18426978443
2024-01-02,44187.140625,45899.707031,44176.949219,44957.968750,44957.968750,39335274536
2024-01-03,44961.601563,45503.242188,40813.535156,42848.175781,42848.175781,46342323118
2024-01-04,42855.816406,44770.023438,42675.175781,44179.921875,44179.921875,30448091210
2024-01-05,44192.980469,44353.285156,42784.718750,44162.691406,44162.691406,32336029347
2024-01-06,44178.953125,44227.632813,43475.156250,43989.195313,43989.195313,16092503468
2024-01-07,43998.464844,44495.570313,43662.230469,43943.097656,43943.097656,19330573863
2024-01-08,43948.707031,47218.000000,43244.082031,46970.503906,46970.503906,42746192015
2024-01-09,46987.640625,47893.699219,45244.714844,46139.730469,46139.730469,39821290992
2024-01-10,46121.539063,47647.222656,44483.152344,46627.777344,46627.777344,50114613298
